STATENAME,ST_CASE,COUNTYNAME,MONTHNAME,DAY_WEEKNAME,LGT_CONDNAME,HOUR,HOURNAME,ROUTENAME,WEATHERNAME,FATALS
florida,123631,brevard,September,Thursday,Dark - Not Lighted,20,8:00pm-8:59pm,Local Street - Municipality,Cloudy,1
florida,123632,broward,October,Monday,Daylight,9,9:00am-9:59am,Local Street - Municipality,Cloudy,1
florida,123633,hillsborough,October,Saturday,Dark - Lighted,20,8:00pm-8:59pm,Local Street - Municipality,Clear,1
florida,123634,broward,November,Wednesday,Daylight,6,6:00am-6:59am,State Highway,Clear,2
florida,123635,broward,January,Friday,Dark - Not Lighted,20,8:00pm-8:59pm,State Highway,Clear,1
florida,123636,miami-dade,June,Tuesday,Dark - Lighted,22,10:00pm-10:59pm,U.S. Highway,Clear,1
florida,123637,seminole,November,Thursday,Dark - Lighted,3,3:00am-3:59am,U.S. Highway,Cloudy,2
florida,123638,brevard,January,Wednesday,Dark - Not Lighted,2,2:00am-2:59am,Local Street - Municipality,Clear,1
florida,123639,okaloosa,November,Friday,Dark - Not Lighted,17,5:00pm-5:59pm,State Highway,Clear,1
florida,123640,leon,April,Thursday,Dawn,7,7:00am-7:59am,State Highway,Clear,1
georgia,130001,dekalb,January,Friday,Dark - Lighted,22,10:00pm-10:59pm,Interstate,Clear,1
georgia,130002,carroll,January,Saturday,Dark - Not Lighted,3,3:00am-3:59am,State Highway,Clear,1
georgia,130003,bibb,January,Saturday,Daylight,10,10:00am-10:59am,County Road,Cloudy,1
georgia,130004,bartow,January,Saturday,Daylight,16,4:00pm-4:59pm,State Highway,Clear,1
georgia,130005,dekalb,January,Sunday,Daylight,11,11:00am-11:59am,County Road,Clear,1
georgia,130006,coffee,January,Friday,Dark - Not Lighted,2,2:00am-2:59am,County Road,Clear,1
georgia,130007,fulton,January,Saturday,Daylight,9,9:00am-9:59am,Interstate,Cloudy,1
georgia,130008,floyd,January,Monday,Daylight,8,8:00am-8:59am,State Highway,Clear,1
georgia,130009,whitfield,January,Saturday,Dark - Not Lighted,6,6:00am-6:59am,State Highway,Rain,1
georgia,130011,sumter,January,Friday,Dark - Not Lighted,5,5:00am-5:59am,County Road,Cloudy,2
georgia,130012,dougherty,January,Monday,Dark - Lighted,18,6:00pm-6:59pm,State Highway,Clear,1
georgia,130013,chattooga,January,Monday,Daylight,13,1:00pm-1:59pm,State Highway,Clear,1
georgia,130014,fulton,January,Wednesday,Dark - Not Lighted,23,11:00pm-11:59pm,State Highway,Clear,1
georgia,130015,dekalb,January,Thursday,Dark - Not Lighted,5,5:00am-5:59am,County Road,Clear,1
georgia,130016,terrell,January,Monday,Dark - Not Lighted,19,7:00pm-7:59pm,County Road,Clear,1
georgia,130017,walton,January,Saturday,Dark - Not Lighted,18,6:00pm-6:59pm,County Road,Cloudy,1
georgia,130018,clinch,January,Saturday,Dark - Lighted,23,11:00pm-11:59pm,State Highway,Rain,3
georgia,130019,clarke,January,Thursday,Daylight,8,8:00am-8:59am,State Highway,Clear,1
georgia,130020,floyd,January,Thursday,Daylight,16,4:00pm-4:59pm,State Highway,Rain,1
georgia,130021,chatham,January,Thursday,Dark - Lighted,20,8:00pm-8:59pm,County Road,Cloudy,1
georgia,130022,dekalb,January,Friday,Dark - Lighted,2,2:00am-2:59am,Interstate,Rain,1
georgia,130023,clayton,January,Friday,Dawn,7,7:00am-7:59am,County Road,Cloudy,1
georgia,130024,fulton,January,Friday,Daylight,15,3:00pm-3:59pm,County Road,Cloudy,1
